avg_pts_last3,avg_pts_last5,form_trend,avg_minutes_last3,avg_xgi_last3,avg_ict_last3,avg_bps_last3,is_home,value,avg_fixture_difficulty,total_points,player_id,round
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,3,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,4,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,4,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,4,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,4,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,4,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,4,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,4,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,4,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,4,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,4,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3.0,0,4,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,3.0,0,4,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,3.0,0,4,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,3.0,0,4,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,3.0,0,4,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,3.0,0,4,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,3.0,0,4,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,3.0,0,4,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,3.0,0,4,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,3.0,0,4,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,3.0,0,4,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,3.0,0,4,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,3.0,0,4,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,3.0,0,4,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,3.0,0,4,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,3.0,0,4,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,3.0,0,4,27
6.0,6.0,0.0,90.0,0.0,2.7,23.0,1,60,3.0,6,5,2
6.0,6.0,0.0,90.0,0.025,2.5,24.5,0,61,3.0,2,5,3
4.666666666666667,4.666666666666667,0.0,90.0,0.02666666666666667,2.3000000000000003,19.0,1,61,3.0,9,5,4
5.666666666666667,5.75,-0.08333333333333304,90.0,0.09666666666666666,2.6666666666666665,22.0,1,61,3.0,2,5,5
4.333333333333333,5.0,-0.666666666666667,90.0,0.08333333333333333,2.6333333333333333,17.666666666666668,0,61,3.0,13,5,6
8.0,6.4,1.5999999999999996,90.0,0.15333333333333332,5.733333333333333,26.333333333333332,1,62,3.0,9,5,7
8.0,7.0,1.0,90.0,0.09333333333333334,5.433333333333334,26.666666666666668,0,63,3.0,12,5,8
11.333333333333334,9.0,2.333333333333334,90.0,0.17666666666666667,6.7,33.333333333333336,1,64,3.0,9,5,9
10.0,9.0,1.0,90.0,0.14,4.533333333333334,32.666666666666664,0,65,3.0,12,5,10
11.0,11.0,0.0,90.0,0.30333333333333334,5.266666666666667,34.666666666666664,0,66,3.0,1,5,11
7.333333333333333,8.6,-1.2666666666666666,90.0,0.22666666666666668,4.633333333333333,25.666666666666668,1,65,3.0,0,5,12
4.333333333333333,6.8,-2.466666666666667,60.0,0.18333333333333335,3.0666666666666664,15.0,0,64,3.0,0,5,13
0.3333333333333333,4.4,-4.066666666666667,30.0,0.01,1.3666666666666665,2.0,1,63,3.0,0,5,14
0.0,2.6,-2.6,0.0,0.0,0.0,0.0,0,63,3.0,0,5,15
0.0,0.2,-0.2,0.0,0.0,0.0,0.0,1,62,3.0,0,5,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62,3.0,0,5,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62,3.0,1,5,18
